cus_Gender,cus_MartialTypeId,cus_Dependants,cus_CurrenResTypeId,cus_CurrenStyYear,cus_CustomerType,cus_Age,IndustryType,CustomerProfile,CustomerSegment,MarketType,MarketNoofYearsinBusiness,app_CustProductCatTypeId,app_CustTenure,app_CustInstalCount,app_CustChasAsset,app_CustChasInitial,app_CustChasFinance,app_CustFinanInterest,app_CustEMI,app_CustGrossLoan,app_CustViaIncomEstIncPm,app_CustViaExpTotExpense,app_CustViaGrossSurplus,app_CustUVAge,app_CustBrandTypeId,app_CustBankClosBal,Label
M,2750,2,2755,15,596,33,1783,2693,2695,2729,10,531,36,35,450000,68000,382000,7.5,13627.35,476957.52,120000,53000,67000,2,746,13627.35,Pay
M,2750,2,2755,25,596,32,1783,2693,2695,2729,6,926,48,47,600000,120000,480000,9.5,14326.91,673364.96,48000,21500,26500,2,565,14326.91,Pay
M,2750,3,2755,10,596,45,1783,2693,2695,2729,10,530,48,47,600000,180000,420000,10,12603.41,592360.32,40000,19015,20985,1,564,12603.41,Pay
M,2751,3,2755,15,596,,1783,2693,2695,2729,,531,36,35,250000,50000,200000,10,7451.6,260806,42000,19833,22167,4,564,7451.6,Pay
M,2750,3,2755,30,596,42,603,2693,2695,2729,23,531,30,29,400000,70000,330000,9.8,14193.85,411621.9,50700,22100,28600,3,821,14193.85,Pay
M,2750,3,2755,23,596,38,603,2693,2695,2729,20,531,36,35,450000,50000,400000,10.4,15017.52,525613.44,50700,22100,28600,3,565,15017.52,Pay
F,2750,1,2756,10,596,28,1783,2693,2695,2729,10,926,36,35,315000,70000,245000,9,8912.49,311937.4,100000,29000,71000,4,565,8912.49,Pay
F,2750,2,2756,7,596,35,1783,2693,2695,2729,6,529,18,17,150000,30000,120000,12,8434.15,143380.62,100000,24500,75500,2,564,8434.15,Pay
M,2750,2,2755,5,596,25,1783,2693,2695,2729,5,531,36,34,361950,91950,270000,10,10439.8,354953.3,50000,19210,30790,4,564,10439.8,Pay
M,2750,3,2755,23,596,38,603,2693,2695,2729,20,531,36,35,470000,70000,400000,10.4,15017.52,525613.44,50700,22100,28600,2,821,15017.52,Pay
M,2750,1,2755,10,596,57,1783,2693,2695,2729,10,531,36,35,311024,81024,230000,9,8368.21,292887.39,100000,29000,71000,7,747,8368.21,Pay
M,2750,3,2755,10,596,29,1783,2693,2695,2729,10,531,30,29,250000,51000,199000,7.8,8328.51,241526.84,100000,29000,71000,3,564,8328.51,Pay
M,2750,2,2755,39,596,39,1782,2693,2695,2729,3,531,24,23,250000,50000,200000,8.7,10247.33,235688.64,60000,12000,48000,3,564,10247.33,Pay
M,2751,3,2755,4,596,26,1783,2693,2695,2729,3,531,42,41,405000,0,405000,10,13577.47,556676.65,104000,48705,55295,1,746,13577.47,Pay
M,2750,3,2755,12,596,28,603,2693,2695,2729,6,529,18,17,100000,10000,90000,12.1,6471.45,110014.8,36000,15400,20600,2,564,6471.45,Pay
M,2750,4,2755,10,596,33,1783,2693,2695,2729,0,531,36,35,318544,96044,222500,10,8379.96,293298.87,140000,23250,116750,4,565,8379.96,Pay
M,2750,2,2755,5,596,34,1783,2693,2695,2729,5,926,18,17,300000,200000,100000,9.5,6801.7,115628.99,62500,35550,26950,3,564,6801.7,Pay
M,2750,3,2755,10,596,66,1783,2693,2695,2729,10,529,18,17,125000,45000,80000,15,5809.38,98759.5,49140,31355,17785,0,747,5809.38,Pay
M,2750,3,2755,23,596,50,603,2693,2695,2729,3,531,24,23,200000,50000,150000,11,8229.13,189270.06,62400,27780,34620,0,564,8229.13,Pay
M,2750,2,2755,10,596,57,1783,2693,2695,2729,10,529,18,17,125000,45000,80000,15,5809.38,98759.5,52920,32000,20920,0,565,5809.38,Pay
M,2751,2,2756,6,596,26,1783,2693,2695,2729,6,531,36,35,408000,81600,326400,7.3,11498.33,402441.74,220000,87333,132667,0,746,11498.33,Pay
M,2750,4,2755,20,596,24,1783,2693,2695,2729,5,926,48,47,420000,84000,336000,9,9812.67,461195.74,60000,23428,36572,0,565,9812.67,Pay
M,2750,3,2755,30,596,33,603,2693,2695,2729,3,529,12,11,180000,70000,110000,9.5,11260.03,123860.39,62400,29132,33268,0,746,11260.03,Pay
M,2750,2,2755,34,596,34,1782,2693,2695,2729,3,531,30,29,370000,163000,207000,8.9,8862.44,257011.05,60000,13800,46200,0,564,8862.44,Pay
M,2750,4,2755,28,596,22,1783,2693,2695,2729,0,531,36,35,380000,178400,201600,12,8000.98,280034.56,117600,19610,97990,0,1360,8000.98,Pay
M,2750,2,2755,39,596,39,1782,2693,2695,2729,3,531,24,23,150000,50000,100000,9,5330.42,122599.79,60000,13800,46200,0,747,5330.42,Pay
M,2750,2,2755,37,596,37,603,2692,2701,2729,,531,24,23,280000,80000,200000,10,10890.14,250473.26,150000,41600,108400,0,565,10890.14,Pay
F,2750,2,2755,20,596,39,1783,2692,2701,2729,,531,24,23,280000,57500,222500,8.4,11437.61,263065.13,150000,78625,71375,0,564,11437.61,Pay
M,2750,4,2755,20,596,30,1783,2693,2695,2729,0,531,30,29,427500,147500,280000,10,12281.71,356169.66,128800,23755,105045,0,565,12281.71,Pay
M,2750,2,2755,29,596,29,1783,2692,2701,2729,,912,18,17,850000,397500,452500,8.85,30384.88,516543.06,135000,47275,87725,0,564,30384.88,Pay
M,2750,2,2755,10,596,26,603,2693,2695,2729,5,531,24,23,526600,226600,300000,9.5,15647.36,359889.32,56250,25500,30750,0,564,15647.36,Pay
M,2750,3,2755,10,596,36,1783,2693,2695,2729,10,531,36,35,588600,259600,329000,11,12620.35,441712.31,176400,77500,98900,0,746,12620.35,Pay
F,2750,2,2755,5,596,40,1783,2693,2695,2729,5,531,36,35,500000,200000,300000,9.5,11167.34,390857.16,112500,46815,65685,0,821,11167.34,Pay
M,2750,0,2755,20,596,43,1783,2693,2695,2729,5,912,30,29,700000,364000,336000,8.3,14363.58,416544.03,180000,600,179400,0,564,14363.58,Pay
F,2750,3,2755,10,596,41,1783,2693,2695,2729,10,529,17,16,82000,20000,62000,15,4934.45,78951.34,54600,38014,16586,0,564,4934.45,Pay
M,2750,4,2755,20,596,35,1783,2693,2695,2729,0,926,24,23,418094,215094,203000,9.5,10707.17,246265.1,88200,19110,69090,0,746,10707.17,Pay
F,2750,4,2755,20,596,23,1783,2693,2695,2729,,531,18,17,160000,70000,90000,11,6381.08,108478.41,40000,15100,24900,0,746,6381.08,Pay
M,2750,4,2755,15,596,33,1783,2693,2695,2729,0,531,30,29,279775,126775,153000,9.7,6700.32,194309.36,109200,17945,91255,0,816,6700.32,Pay
M,2750,2,2755,30,596,30,1782,2693,2695,2729,5,529,24,23,130000,50000,80000,14.5,4590.67,105585.45,40000,9200,30800,0,1491,4590.67,Pay
M,2750,2,2755,44,596,44,1783,2692,2701,2729,,926,24,23,400000,175000,225000,8.7,11811.57,271666.11,75000,16025,58975,0,746,11811.57,Pay
M,2751,2,2755,25,596,26,1783,2693,2695,2729,5,531,36,35,400000,100000,300000,10,11241.76,393461.9,90000,50000,40000,0,565,11241.76,Pay
M,2750,1,2755,20,596,42,1783,2693,2696,2729,4,530,24,23,735000,185000,550000,8.76,28405.35,653323.06,100000,69055,30945,2,816,28405.35,Pay
M,2750,6,2755,15,596,32,1783,2693,2695,2729,12,531,48,47,500000,50000,450000,11.52,14005.65,658265.69,45000,25966,19034,3,1341,14005.65,Pay
M,2750,4,2755,20,596,47,1783,2693,2695,2729,,531,24,23,220000,100000,120000,10.61,6472.04,148856.94,17472,474,16998,5,746,6472.04,Pay
M,2750,4,2755,4,596,23,1783,2693,2695,2729,4,529,24,23,130000,65000,65000,10.03,3440.18,79124.34,94640,500,94140,3,742,3440.18,Pay
M,2751,3,2755,15,596,,1783,2693,2695,2729,,531,36,35,325000,115000,210000,10.35,7993.33,279766.85,468000,213280,254720,4,564,7993.33,Pay
M,2751,2,2755,10,596,,1783,2693,2695,2729,,926,36,35,825000,325000,500000,7.75,17628.97,617014.15,112500,50130,62370,6,746,17628.97,Pay
M,2750,4,2755,5,596,35,1783,2693,2695,2729,3,926,36,35,350000,147449,202551,10.2,7677.56,268714.72,25000,6920,18080,6,747,7677.56,Pay
M,2750,3,2755,10,596,46,1783,2693,2695,2729,10,530,48,46,551000,181620,369380,11.5,11743.47,540200,82500,3494,79006,5,564,11743.47,Pay
M,2750,2,2755,10,596,31,1783,2693,2695,2729,10,531,48,46,550000,100620,449380,11.7,14360.86,660600,45000,17350,27650,1,914,14360.86,Pay
M,2750,1,2755,15,596,,1783,2693,2695,2729,,531,48,46,500000,46080,453920,11,14307.16,658129.7,44800,24553,20247,1,1342,14307.16,Pay
M,2750,2,2755,5,596,26,1783,2693,2695,2729,5,531,36,35,325000,80000,245000,9.25,9046.34,316621.98,62400,2164,60236,3,565,9046.34,Pay
M,2750,4,2755,5,596,35,1783,2693,2695,2729,3,926,36,35,350000,150000,200000,10.2,7581.18,265341.32,25000,6920,18080,6,564,7581.18,Pay
M,2750,5,2755,15,596,55,604,2693,2695,2729,15,529,24,22,100000,45620,54380,15.3,3265,71830,17600,6610,10990,0,564,3265,Pay
M,2751,0,2755,10,596,,1783,2693,2695,2729,,531,36,35,243000,63000,180000,8.85,6620.89,231731.41,75000,34003,40997,4,564,6620.89,Pay
M,2750,5,2755,10,596,32,1783,2693,2695,2729,10,531,36,35,230000,80000,150000,11.5,5883.97,205939.02,29700,7780,21920,5,1342,5883.97,Pay
M,2751,0,2755,5,596,,1783,2693,2695,2729,,531,36,35,288000,63000,225000,8.6,8271.86,289515.36,175000,117900,57100,4,747,8271.86,Pay
M,2750,3,2755,10,596,31,1783,2693,2695,2729,10,531,48,46,360000,150620,209380,11.7,6701.73,308280,22500,6845,15655,0,565,6701.73,Pay
M,2750,3,2755,10,596,32,1783,2693,2695,2729,10,530,36,34,500000,93114,406886,11,16038.25,545300.69,240000,163620,76380,5,565,16038.25,Pay
